NC_013715.1 Rothia mucilaginosa DY-18, complete genome
NZ_CP042887.1 Escherichia coli O10:H32 strain NMBU-W12E19 plasmid pNMBU-W12E19_03, complete sequence
NZ_CP042888.1 Escherichia coli O10:H32 strain NMBU-W12E19 plasmid pNMBU-W12E19_04, complete sequence
NZ_CP042889.1 Escherichia coli O10:H32 strain NMBU-W12E19 plasmid pNMBU-W12E19_05, complete sequence
NZ_CP042890.1 Escherichia coli O10:H32 strain NMBU-W12E19 plasmid pNMBU-W12E19_06, complete sequence
NZ_CP042891.1 Escherichia coli O10:H32 strain NMBU-W12E19 plasmid pNMBU-W12E19_07, complete sequence
NZ_CP042892.1 Escherichia coli O10:H32 strain NMBU-W12E19 chromosome, complete genome
NC_015690.1 Paenibacillus mucilaginosus KNP414, complete genome
NZ_CP041965.1 Xanthomonas citri pv. glycines strain 2098 chromosome, complete genome
NZ_CP030861.1 Pseudomonas aeruginosa strain HS9 chromosome, complete genome
NZ_CP037882.1 Salmonella enterica subsp. enterica serovar 4,[5],12:i:- strain PNCS014875 chromosome, complete genome
NC_016638.1 Mycoplasma haemocanis str. Illinois, complete genome
NZ_CP044035.1 Klebsiella pneumoniae strain FDAARGOS_630 plasmid unnamed1, complete sequence
NZ_CP044036.1 Klebsiella pneumoniae strain FDAARGOS_630 plasmid unnamed2, complete sequence
NZ_CP044037.1 Klebsiella pneumoniae strain FDAARGOS_630 plasmid unnamed3, complete sequence
NZ_CP044038.1 Klebsiella pneumoniae strain FDAARGOS_630 plasmid unnamed4, complete sequence
NZ_CP044039.1 Klebsiella pneumoniae strain FDAARGOS_630 chromosome, complete genome
NZ_CP044040.1 Klebsiella pneumoniae strain FDAARGOS_630 plasmid unnamed5, complete sequence
NZ_CP044041.1 Klebsiella pneumoniae strain FDAARGOS_630 plasmid unnamed6
NZ_CP044042.1 Klebsiella pneumoniae strain FDAARGOS_630 plasmid unnamed7
NZ_CP031933.2 Lactobacillus zhachilii strain HBUAS52074 chromosome, complete genome
NZ_CP010976.1 Paenibacillus sp. IHBB 10380 chromosome, complete genome
NZ_CP010977.1 Paenibacillus sp. IHBB 10380 plasmid unnamed, complete sequence
NZ_CP028966.1 Aminobacter sp. MSH1 plasmid pBAM2, complete sequence
NZ_CP028967.1 Aminobacter sp. MSH1 plasmid pBAM1, complete sequence
NZ_CP028968.1 Aminobacter sp. MSH1 chromosome, complete genome
NZ_CP028969.1 Aminobacter sp. MSH1 plasmid pUSP1, complete sequence
NZ_CP028970.1 Aminobacter sp. MSH1 plasmid pUSP2, complete sequence
NZ_CP028971.1 Aminobacter sp. MSH1 plasmid pUSP3, complete sequence
NZ_CP028972.1 Aminobacter sp. MSH1 plasmid pUSP4, complete sequence
NZ_CP028973.1 Aminobacter sp. MSH1 plasmid pUSP5, complete sequence
NZ_CP018935.1 Bacillus cereus strain JEM-2 chromosome, complete genome
NZ_CP018936.1 Bacillus cereus strain JEM-2 plasmid unnamed1, complete sequence
NZ_CP021288.1 Escherichia coli strain PA45B chromosome, complete genome
NZ_CP021289.1 Escherichia coli strain PA45B plasmid pPA45B, complete sequence
NZ_AP012549.1 Cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko
NZ_CP046378.1 Shewanella algae strain RQs-106 chromosome, complete genome
NZ_CP022044.1 Bacillus anthracis strain FDAARGOS_341 chromosome, complete genome
NZ_CP022045.1 Bacillus anthracis strain FDAARGOS_341 plasmid unnamed1, complete sequence
NZ_CP018919.1 Serratia marcescens strain UMH7 chromosome, complete genome
NZ_CP018920.1 Serratia marcescens strain UMH7 plasmid unnamed3, complete sequence
NZ_CP018921.1 Serratia marcescens strain UMH7 plasmid unnamed4, complete sequence
NZ_CP018922.1 Serratia marcescens strain UMH7 plasmid unnamed5, complete sequence
NZ_CP023839.1 Klebsiella pneumoniae strain 4/1-2 chromosome, complete genome
NZ_CP023840.1 Klebsiella pneumoniae strain 4/1-2 plasmid p4_1_2.1, complete sequence
NZ_CP023841.1 Klebsiella pneumoniae strain 4/1-2 plasmid p4_1_2.2, complete sequence
NZ_CP023842.1 Klebsiella pneumoniae strain 4/1-2 plasmid p4_1_2.3, complete sequence
NZ_CP023843.1 Klebsiella pneumoniae strain 4/1-2 plasmid p4_1_2.4, complete sequence
NZ_CP035516.1 Escherichia coli strain U14A chromosome, complete genome
NZ_CP035517.1 Escherichia coli strain U14A plasmid pU14A_A, complete sequence
NZ_CP035518.1 Escherichia coli strain U14A plasmid pU14A_B, complete sequence
NZ_CP035519.1 Escherichia coli strain U14A plasmid pU14A_C, complete sequence
NZ_CP035520.1 Escherichia coli strain U14A plasmid pU14A_D, complete sequence
NZ_CP035521.1 Escherichia coli strain U14A plasmid pU14A_E, complete sequence
NZ_CP035522.1 Escherichia coli strain U14A plasmid pU14A_F, complete sequence
NZ_CP035945.1 Blautia producta strain PMF1 chromosome, complete genome
NC_011880.1 Cyanothece sp. PCC 7425 plasmid pP742501, complete sequence
NC_011882.1 Cyanothece sp. PCC 7425 plasmid pP742503, complete sequence
NC_011884.1 Cyanothece sp. PCC 7425, complete genome
NC_011885.1 Cyanothece sp. PCC 7425 plasmid pP742502, complete sequence
NZ_CP046428.1 Bacteroides dorei strain JR05 chromosome, complete genome
NZ_CP010852.1 Bacillus anthracis strain A1144, complete genome
NZ_CP010853.1 Bacillus anthracis strain A1144 plasmid pXO1, complete sequence
NZ_CP010854.1 Bacillus anthracis strain A1144 plasmid pXO2, complete sequence
NZ_CP027001.1 Corynebacterium camporealensis strain CIP 105508 chromosome, complete genome
NC_020995.1 Enterococcus casseliflavus EC20, complete genome
NZ_CP016372.1 Elizabethkingia anophelis strain JM-87 chromosome, complete genome
NZ_CP044283.1 Rhodococcus erythropolis strain X5 plasmid pRhX5, complete sequence
NZ_CP044284.1 Rhodococcus erythropolis strain X5 chromosome, complete genome
NZ_CP044376.1 Klebsiella pneumoniae strain 2018S06-082 chromosome, complete genome
NZ_CP044377.1 Klebsiella pneumoniae strain 2018S06-082 plasmid p2018S06-082-1_MCR1, complete sequence
NZ_CP044378.1 Klebsiella pneumoniae strain 2018S06-082 plasmid p2018S06-082-2, complete sequence
NZ_CP044379.1 Klebsiella pneumoniae strain 2018S06-082 plasmid p2018S06-082-3, complete sequence
NZ_CP008864.2 Pseudomonas aeruginosa strain W60856, complete genome
NZ_CP010374.1 Enterobacter cloacae strain 34977 plasmid p34977-43.621kb, complete sequence
NZ_CP010375.1 Enterobacter cloacae strain 34977 plasmid p34977-5.006kb, complete sequence
NZ_CP010376.1 Enterobacter cloacae strain 34977, complete genome
NC_015519.1 Tepidanaerobacter acetatoxydans Re1, complete genome
NC_015600.1 Streptococcus pasteurianus ATCC 43144, complete genome
NZ_CP011272.1 Pirellula sp. SH-Sr6A chromosome, complete genome
NZ_CP032808.1 Escherichia coli strain ERL04-3476 chromosome, complete genome
NZ_CP032809.1 Escherichia coli strain ERL04-3476 plasmid pERL04-3476-1, complete sequence
NZ_CP032810.1 Escherichia coli strain ERL04-3476 plasmid pERL04-3476-2, complete sequence
NZ_CP051681.1 Cohnella sp. MFER-1 plasmid unnamed1
NZ_CP028180.1 Klebsiella pneumoniae strain CFSAN054110 chromosome, complete genome
NZ_CP028181.1 Klebsiella pneumoniae strain CFSAN054110 plasmid pGMI16-005_01, complete sequence
NZ_CP028182.1 Klebsiella pneumoniae strain CFSAN054110 plasmid pGMI16-005_02, complete sequence
NZ_CP024477.1 Pseudomonas aeruginosa strain 12939 chromosome, complete genome
NZ_CP023558.1 Pseudoalteromonas marina strain ECSMB14103 chromosome, complete genome
NC_019396.1 Gluconobacter oxydans H24, complete genome
NC_019397.1 Gluconobacter oxydans H24 plasmid, complete sequence
NZ_CP040782.1 Bacillus thuringiensis strain HM-311 chromosome, complete genome
NZ_CP040783.1 Bacillus thuringiensis strain HM-311 plasmid p1, complete sequence
NZ_CP040784.1 Bacillus thuringiensis strain HM-311 plasmid p2, complete sequence
NZ_CP040785.1 Bacillus thuringiensis strain HM-311 plasmid p3
NZ_CP024243.1 Escherichia coli O128:H27 strain 90-9281 chromosome, complete genome
NZ_CP024244.1 Escherichia coli O128:H27 strain 90-9281 plasmid unnamed, complete sequence
NZ_CP026550.1 Citrobacter sp. SL156 chromosome, complete genome
NZ_CP026551.1 Citrobacter sp. SL156 plasmid unnamed2
NZ_CP026552.1 Citrobacter sp. SL156 plasmid unnamed3
NZ_CP026553.1 Citrobacter sp. SL156 plasmid unnamed4
NZ_CP026554.1 Citrobacter sp. SL156 plasmid unnamed5
NZ_CP026555.1 Citrobacter sp. SL156 plasmid unnamed6
NZ_CP026556.1 Citrobacter sp. SL156 plasmid unnamed7
NZ_CP042524.1 Citrobacter freundii strain E11 chromosome, complete genome
NZ_CP042525.1 Citrobacter freundii strain E11 plasmid pE11_001, complete sequence
NZ_CP042526.1 Citrobacter freundii strain E11 plasmid pE11_002, complete sequence
NZ_CP042527.1 Citrobacter freundii strain E11 plasmid pE11_003, complete sequence
NZ_CP042528.1 Citrobacter freundii strain E11 plasmid pE11_004, complete sequence
NZ_CP042529.1 Citrobacter freundii strain E11 plasmid pE11_005, complete sequence
NZ_CP022525.1 Pseudomonas aeruginosa strain Ocean-1175 chromosome, complete genome
NZ_CP009540.1 Bacillus anthracis str. Sterne plasmid pXO1, complete sequence
NZ_CP009541.1 Bacillus anthracis str. Sterne chromosome, complete genome
NZ_CP016315.1 Bacillus cereus strain D12_2 chromosome, complete genome
NZ_AP018756.1 Metakosakonia sp. MRY16-398
NZ_AP018757.1 Metakosakonia sp. MRY16-398 plasmid pMRY16-398_1, complete sequence
NZ_AP018758.1 Metakosakonia sp. MRY16-398 plasmid pMRY16-398_2, complete sequence
NZ_LN877293.1 Bacteroides fragilis strain BE1 chromosome scaffold1
NZ_CP012578.1 Pseudomonas aeruginosa strain PA_D2, complete genome
NZ_CP042170.1 Flavobacterium sp. KBS0721 chromosome, complete genome
NZ_CP013334.1 Fusobacterium hwasookii ChDC F300 chromosome, complete genome
NZ_CP013335.1 Fusobacterium hwasookii ChDC F300 plasmid unnamed, complete sequence
NZ_CP024675.1 Citrobacter werkmanii strain UMH18 chromosome, complete genome
NZ_CP019338.1 Pseudomonas aeruginosa strain L10 chromosome, complete genome
NZ_CP029323.1 Bacillus anthracis strain 17OD930 chromosome, complete genome
NZ_CP029324.1 Bacillus anthracis strain 17OD930 plasmid pXO1, complete sequence
NZ_CP029325.1 Bacillus anthracis strain 17OD930 plasmid pXO2, complete sequence
NZ_CP010052.1 Bacillus subtilis subsp. subtilis str. 168, complete genome
NZ_CP025001.1 Bacillus siamensis strain SCSIO 05746 chromosome, complete genome
NZ_CP025002.1 Bacillus siamensis strain SCSIO 05746 plasmid pSCSIO05746, complete sequence
NZ_CP032263.1 Escherichia coli strain AR_0089 plasmid unnamed1, complete sequence
NZ_CP032264.1 Escherichia coli strain AR_0089 plasmid unnamed2, complete sequence
NZ_CP032265.1 Escherichia coli strain AR_0089 chromosome, complete genome
NZ_CP014229.1 Desulfovibrio fairfieldensis strain CCUG 45958, complete genome
NZ_CP034152.1 Rhodococcus sp. NJ-530 chromosome, complete genome
NZ_CP034153.1 Rhodococcus sp. NJ-530 plasmid unnamed1, complete sequence
NZ_CP034154.1 Rhodococcus sp. NJ-530 plasmid unnamed2, complete sequence
NZ_CP034155.1 Rhodococcus sp. NJ-530 plasmid unnamed3, complete sequence
NZ_CP034156.1 Rhodococcus sp. NJ-530 plasmid unnamed4, complete sequence
NZ_CP044083.1 Klebsiella aerogenes strain FDAARGOS_641 chromosome, complete genome
NC_008508.1 Leptospira borgpetersenii serovar Hardjo-bovis str. L550 chromosome 1, complete sequence
NC_008509.1 Leptospira borgpetersenii serovar Hardjo-bovis str. L550 chromosome 2, complete sequence
NC_007618.1 Brucella abortus 2308 chromosome I, complete sequence
NC_007624.1 Brucella abortus 2308 chromosome II, complete sequence
NZ_CP024941.1 Paraburkholderia terricola strain mHS1 chromosome mHS1_A, complete sequence
NZ_CP024942.1 Paraburkholderia terricola strain mHS1 chromosome mHS1_B, complete sequence
NZ_CP023526.1 Cedecea neteri strain FDAARGOS_392 plasmid unnamed, complete sequence
NZ_CP032185.1 Klebsiella pneumoniae strain AR_0075 chromosome, complete genome
NZ_CP032186.1 Klebsiella pneumoniae strain AR_0075 plasmid unnamed1, complete sequence
NZ_CP032187.1 Klebsiella pneumoniae strain AR_0075 plasmid unnamed2, complete sequence
NZ_CP032188.1 Klebsiella pneumoniae strain AR_0075 plasmid unnamed3, complete sequence
NZ_CP032189.1 Klebsiella pneumoniae strain AR_0075 plasmid unnamed4, complete sequence
NZ_CP032190.1 Klebsiella pneumoniae strain AR_0075 plasmid unnamed5, complete sequence
NZ_CP032191.1 Klebsiella pneumoniae strain AR_0075 plasmid unnamed6, complete sequence
NZ_CP017290.1 Pseudomonas sp. LPH1 chromosome, complete genome
NZ_CP016431.1 Bordetella bronchiseptica strain I328 chromosome, complete genome
NZ_CP011603.1 Citrobacter freundii strain CAV1321 plasmid pCAV1321-1916, complete sequence
NZ_CP011604.1 Citrobacter freundii strain CAV1321 plasmid pCAV1321-3223, complete sequence
NZ_CP011605.1 Citrobacter freundii strain CAV1321 plasmid pCAV1321-3820, complete sequence
NZ_CP011606.1 Citrobacter freundii strain CAV1321 plasmid pCAV1321-4310, complete sequence
NZ_CP011607.1 Citrobacter freundii strain CAV1321 plasmid pCAV1321-4938, complete sequence
NZ_CP011608.1 Citrobacter freundii strain CAV1321 plasmid pKPC_CAV1321-45, complete sequence
NZ_CP011609.1 Citrobacter freundii strain CAV1321 plasmid pCAV1321-71, complete sequence
NZ_CP011610.1 Citrobacter freundii strain CAV1321 plasmid pCAV1321-135, complete sequence
NZ_CP011611.1 Citrobacter freundii strain CAV1321 plasmid pKPC_CAV1321-244, complete sequence
NZ_CP011612.1 Citrobacter freundii strain CAV1321 chromosome, complete genome
NC_013850.1 Klebsiella variicola At-22, complete genome
NZ_CP028432.1 Escherichia coli strain RM9975 chromosome, complete genome
NZ_CP028433.1 Escherichia coli strain RM9975 plasmid pRM9975-1, complete sequence
NZ_CP028434.1 Escherichia coli strain RM9975 plasmid pRM9975-2, complete sequence
NZ_CP045571.1 Acidithiobacillus thiooxidans ATCC 19377 chromosome, complete genome
NZ_CP053929.1 Pseudomonas sp. B14-6 chromosome, complete genome
NZ_CP013985.1 Klebsiella variicola strain LMG 23571 chromosome, complete genome
NZ_CP013986.1 Klebsiella variicola strain LMG 23571 plasmid unnamed, complete sequence
NZ_CP009032.1 Xanthomonas citri pv. citri strain AW14 plasmid pXCAW19, complete sequence
NZ_CP009033.1 Xanthomonas citri pv. citri strain AW14 plasmid pXCAW58, complete sequence
NZ_CP009034.1 Xanthomonas citri pv. citri strain AW14 chromosome, complete genome
NZ_CP047675.1 Klebsiella pneumoniae subsp. pneumoniae strain KUH-KPNHVL1 chromosome, complete genome
NZ_CP047676.1 Klebsiella pneumoniae subsp. pneumoniae strain KUH-KPNHVL1 plasmid unnamed, complete sequence
NZ_CP028662.1 Escherichia coli strain 119 chromosome, complete genome
NZ_CP028663.1 Escherichia coli strain 119 plasmid pTA118-2, complete sequence
NZ_CP028664.1 Escherichia coli strain 119 plasmid pTA118, complete sequence
NZ_CP022988.1 Lactobacillus delbrueckii subsp. lactis DSM 20072 chromosome, complete genome
NZ_CP031612.1 Olleya aquimaris strain DAU311 chromosome, complete genome
NZ_CP034350.1 Streptomyces sp. W1SF4 chromosome, complete genome
NZ_CP034351.1 Streptomyces sp. W1SF4 plasmid p1, complete sequence
NZ_CP034352.1 Streptomyces sp. W1SF4 plasmid p2, complete sequence
NZ_CP017634.1 Peptococcaceae bacterium DCMF, complete genome
NZ_CP015994.1 Anaplasma ovis str. Haibei chromosome, complete genome
NC_022575.1 Mycoplasma parvum str. Indiana, complete sequence
NZ_CP012568.1 Klebsiella pneumoniae strain UCLAOXA232KP chromosome, complete genome
NZ_CP012569.1 Klebsiella pneumoniae strain UCLAOXA232KP plasmid pUCLAOXA232-3.X, complete sequence
NZ_CP012570.1 Klebsiella pneumoniae strain UCLAOXA232KP plasmid pUCLAOXA232-4.X, complete sequence
NZ_CP012571.1 Klebsiella pneumoniae strain UCLAOXA232KP plasmid pUCLAOXA232-5.X, complete sequence
NZ_CP012572.1 Klebsiella pneumoniae strain UCLAOXA232KP plasmid pUCLAOXA232-6.X, complete sequence
NZ_CP025018.1 Streptomyces sp. M56
NZ_CP020847.1 Klebsiella variicola strain KPN1481 chromosome, complete genome
NZ_CP020848.1 Klebsiella variicola strain KPN1481 plasmid pKPN1481-1, complete sequence
NZ_CP020849.1 Klebsiella variicola strain KPN1481 plasmid pKPN1481-5, complete sequence
NZ_CP020850.1 Klebsiella variicola strain KPN1481 plasmid pKPN1481-4, complete sequence
NZ_CP020851.1 Klebsiella variicola strain KPN1481 plasmid pKPN1481-2, complete sequence
NZ_CP020852.1 Klebsiella variicola strain KPN1481 plasmid pKPN1481-3, complete sequence
NZ_CP011800.1 Xylella taiwanensis strain PLS235 chromosome, complete genome
NZ_CP021118.1 Streptomyces sp. CLI2509 strain CLI2905 chromosome, complete genome
NZ_CP021119.1 Streptomyces sp. CLI2509 strain CLI2905 plasmid unnamed1, complete sequence
NZ_CP047608.1 Methylobacterium sp. CLZ chromosome, complete genome
NZ_CP020657.1 Klebsiella sp. M5al chromosome, complete genome
NZ_CP054139.1 Mucilaginibacter sp. G2-14 chromosome, complete genome
NC_022648.1 Escherichia coli JJ1886, complete sequence
NC_022649.1 Escherichia coli JJ1886 plasmid pJJ1886_2, complete sequence
NC_022650.1 Escherichia coli JJ1886 plasmid pJJ1886_4, complete sequence
NC_022651.1 Escherichia coli JJ1886 plasmid pJJ1886_5, complete sequence
NC_022661.1 Escherichia coli JJ1886 plasmid pJJ1886_1, complete sequence
NC_022662.1 Escherichia coli JJ1886 plasmid pJJ1886_3, complete sequence
NZ_CP022754.1 Parabacteroides sp. CT06 chromosome, complete genome
NZ_AP019654.1 Vibrio panuliri strain JCM 19500 chromosome 1
NZ_AP019655.1 Vibrio panuliri strain JCM 19500 chromosome 2
NZ_AP019656.1 Vibrio panuliri strain JCM 19500 plasmid pVPan1, complete sequence
NZ_CP016952.1 Citrobacter freundii strain SL151 chromosome, complete genome
NZ_CP017058.1 Citrobacter freundii strain SL151 plasmid unnamed1, complete sequence
NZ_CP017059.1 Citrobacter freundii strain SL151 plasmid unnamed2, complete sequence
NC_015951.1 Streptomyces violaceusniger Tu 4113 plasmid pSTRVI01, complete sequence
NC_015952.1 Streptomyces violaceusniger Tu 4113 plasmid pSTRVI02, complete sequence
NC_015957.1 Streptomyces violaceusniger Tu 4113, complete sequence
NZ_CP027749.1 Pseudomonas chlororaphis subsp. aureofaciens strain ChPhzTR39 chromosome, complete genome
NZ_CP034447.1 Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1 chromosome, complete genome
NZ_CP021165.1 Klebsiella pneumoniae strain 203 chromosome, complete genome
NZ_CP021166.1 Klebsiella pneumoniae strain 203 plasmid p203, complete sequence
NC_022539.1 Xanthomonas citri pv. fuscans plasmid pla, complete sequence
NC_022540.1 Xanthomonas citri pv. fuscans plasmid plb, complete sequence
NC_022541.1 Xanthomonas citri pv. fuscans, complete genome
NC_022542.1 Xanthomonas citri pv. fuscans plasmid plc, complete sequence
NZ_LT963391.1 Pseudomonas syringae pv. cerasicola isolate CFBP6109 chromosome 1
NZ_LT963392.1 Pseudomonas syringae pv. cerasicola isolate CFBP6109 plasmid PP1, complete sequence
NZ_LT963393.1 Pseudomonas syringae pv. cerasicola isolate CFBP6109 plasmid PP2, complete sequence
NZ_LT963394.1 Pseudomonas syringae pv. cerasicola isolate CFBP6109 plasmid PP3, complete sequence
NZ_CP026935.1 Escherichia coli strain CFS3292 chromosome, complete genome
NZ_CP026936.1 Escherichia coli strain CFS3292 plasmid pCFS3292-1, complete sequence
NZ_CP026937.1 Escherichia coli strain CFS3292 plasmid pCFS3292-2, complete sequence
NZ_CP026938.1 Escherichia coli strain CFS3292 plasmid pCFS3292-3, complete sequence
NZ_CP030749.1 Salmonella enterica strain MAC15 chromosome, complete genome
NZ_CP025122.1 Bacillus sp. HBCD-sjtu chromosome, complete genome
NZ_LR134484.1 Gemella haemolysans strain NCTC10459 chromosome 1
NZ_CP028990.1 Klebsiella pneumoniae strain AR_0142 chromosome, complete genome
NZ_CP028991.1 Klebsiella pneumoniae strain AR_0142 plasmid unnamed1, complete sequence
NZ_CP028992.1 Klebsiella pneumoniae strain AR_0142 plasmid unnamed2, complete sequence
NZ_CP028993.1 Klebsiella pneumoniae strain AR_0142 plasmid unnamed3, complete sequence
NZ_CP041237.1 Pandoraea pnomenusa strain M202 chromosome, complete genome
NZ_CP017813.1 Mycoplasma pullorum strain B359_6 chromosome, complete genome
NZ_CP007053.1 Opitutaceae bacterium TAV5 chromosome, complete genome
NZ_CP007054.1 Opitutaceae bacterium TAV5 plasmid unnamed, complete sequence
NZ_CP023687.1 Acidovorax citrulli strain KACC17005 chromosome, complete genome
NZ_CP033104.1 Pseudomonas sp. LTGT-11-2Z chromosome, complete genome
NZ_CP054353.1 Escherichia coli strain SCU-172 chromosome, complete genome
NZ_CP054354.1 Escherichia coli strain SCU-172 plasmid pSCU-172-1, complete sequence
NZ_CP054355.1 Escherichia coli strain SCU-172 plasmid pSCU-172-2, complete sequence
NZ_CP054356.1 Escherichia coli strain SCU-172 plasmid pSCU-172-3, complete sequence
NZ_CP054357.1 Escherichia coli strain SCU-172 plasmid pSCU-172-4, complete sequence
NZ_CP054358.1 Escherichia coli strain SCU-172 plasmid pSCU-172-5, complete sequence
NZ_CP054359.1 Escherichia coli strain SCU-172 plasmid pSCU-172-6, complete sequence
NZ_CP054360.1 Escherichia coli strain SCU-172 plasmid pSCU-172-7, complete sequence
NZ_CP054361.1 Escherichia coli strain SCU-172 plasmid pSCU-172-8, complete sequence
NZ_CP054362.1 Escherichia coli strain SCU-172 plasmid pSCU-172-9, complete sequence
NZ_CP041001.1 Escherichia coli strain FDAARGOS_772 plasmid unnamed1, complete sequence
NZ_CP041002.1 Escherichia coli strain FDAARGOS_772 chromosome, complete genome
NZ_CP041003.1 Escherichia coli strain FDAARGOS_772 plasmid unnamed2, complete sequence
NZ_CP041004.1 Escherichia coli strain FDAARGOS_772 plasmid unnamed3
NZ_CP009461.1 Klebsiella pneumoniae strain XH209 chromosome, complete genome
NZ_CP032815.1 Salmonella enterica subsp. enterica strain 11TTU1615b chromosome, complete genome
NZ_CP011958.1 Xanthomonas oryzae pv. oryzicola strain CFBP7331, complete genome
NC_018658.1 Escherichia coli O104:H4 str. 2011C-3493, complete sequence
NC_018659.1 Escherichia coli O104:H4 str. 2011C-3493 plasmid pESBL-EA11, complete sequence
NC_018660.1 Escherichia coli O104:H4 str. 2011C-3493 plasmid pG-EA11, complete sequence
NC_018666.1 Escherichia coli O104:H4 str. 2011C-3493 plasmid pAA-EA11, complete sequence
NZ_AP019312.1 Chromobacterium haemolyticum strain CH06-BL
NZ_CP033743.1 Citrobacter freundii strain FDAARGOS_549 plasmid unnamed, complete sequence
NZ_CP033744.1 Citrobacter freundii strain FDAARGOS_549 chromosome, complete genome
NZ_CP007762.1 Brucella melitensis bv. 1 str. 16M chromosome 2, complete sequence
NZ_CP007763.1 Brucella melitensis bv. 1 str. 16M chromosome 1, complete sequence
NZ_CP050843.1 Klebsiella pneumoniae strain Bckp186 chromosome, complete genome
NZ_CP050844.1 Klebsiella pneumoniae strain Bckp186 plasmid pBckp186, complete sequence
NZ_CP053231.1 Escherichia coli strain SCU-306 chromosome, complete genome
NZ_CP053232.1 Escherichia coli strain SCU-306 plasmid pSCU-306-1, complete sequence
NZ_CP053233.1 Escherichia coli strain SCU-306 plasmid pSCU-306-2, complete sequence
NZ_AP018443.1 Bacillus anthracis strain CZC5
NZ_AP018444.1 Bacillus anthracis strain CZC5 plasmid pXO1, complete sequence
NZ_AP018445.1 Bacillus anthracis strain CZC5 plasmid pXO2, complete sequence
NZ_CP050498.1 Escherichia coli strain RM13322 chromosome, complete genome
NZ_CP050499.1 Escherichia coli strain RM13322 plasmid pRM13322, complete sequence
NZ_CP041099.1 Klebsiella pneumoniae subsp. pneumoniae strain KPCTRSRTH07 chromosome, complete genome
NZ_CP041100.1 Klebsiella pneumoniae subsp. pneumoniae strain KPCTRSRTH07 plasmid unnamed1, complete sequence
NZ_CP041101.1 Klebsiella pneumoniae subsp. pneumoniae strain KPCTRSRTH07 plasmid unnamed2, complete sequence
NZ_CP041102.1 Klebsiella pneumoniae subsp. pneumoniae strain KPCTRSRTH07 plasmid unnamed3, complete sequence
NZ_CP041103.1 Klebsiella pneumoniae subsp. pneumoniae strain KPCTRSRTH07 plasmid unnamed4, complete sequence
NZ_CP041104.1 Klebsiella pneumoniae subsp. pneumoniae strain KPCTRSRTH07 plasmid unnamed5, complete sequence
NZ_CP041105.1 Klebsiella pneumoniae subsp. pneumoniae strain KPCTRSRTH07 plasmid unnamed6, complete sequence
NZ_CP041106.1 Klebsiella pneumoniae subsp. pneumoniae strain KPCTRSRTH07 plasmid unnamed7, complete sequence
NZ_CP041107.1 Klebsiella pneumoniae subsp. pneumoniae strain KPCTRSRTH07 plasmid unnamed8, complete sequence
NZ_CP041108.1 Klebsiella pneumoniae subsp. pneumoniae strain KPCTRSRTH07 plasmid unnamed9, complete sequence
NZ_CP041109.1 Klebsiella pneumoniae subsp. pneumoniae strain KPCTRSRTH07 plasmid unnamed10, complete sequence
NZ_AP013028.1 Wolbachia endosymbiont of Cimex lectularius strain wCle
NZ_CP014352.1 Acidipropionibacterium acidipropionici strain ATCC 55737 chromosome, complete genome
NZ_CP014353.1 Acidipropionibacterium acidipropionici strain ATCC 55737 plasmid unnamed, complete sequence
NZ_CP012491.1 Escherichia coli strain CFSAN004176 plasmid pCFSAN004176P_03, complete sequence
NZ_CP012492.1 Escherichia coli strain CFSAN004176 plasmid pCFSAN004176P_01, complete sequence
NZ_CP012493.1 Escherichia coli strain CFSAN004176 plasmid pCFSAN004176G_02, complete sequence
NZ_CP014583.1 Escherichia coli strain CFSAN004176, complete genome
NZ_CP024549.1 Klebsiella pneumoniae strain INF163 chromosome, complete genome
NZ_CP024550.1 Klebsiella pneumoniae strain INF163 plasmid unnamed1, complete sequence
NZ_CP024551.1 Klebsiella pneumoniae strain INF163 plasmid unnamed2, complete sequence
NZ_CP024552.1 Klebsiella pneumoniae strain INF163 plasmid unnamed3, complete sequence
NZ_CP024553.1 Klebsiella pneumoniae strain INF163 plasmid unnamed4, complete sequence
NZ_CP024554.1 Klebsiella pneumoniae strain INF163 plasmid unnamed5, complete sequence
NZ_CP024555.1 Klebsiella pneumoniae strain INF163 plasmid unnamed6, complete sequence
NZ_CP027706.1 Pseudomonas sp. CMR12a chromosome, complete genome
NZ_CP017016.1 Bacillus sp. ABP14 chromosome, complete genome
NZ_CP017017.1 Bacillus sp. ABP14 plasmid pABP14, complete sequence
NZ_AP018808.1 Escherichia coli strain E2865
NZ_AP018809.1 Escherichia coli strain E2865 plasmid pE2865-1, complete sequence
NZ_AP018810.1 Escherichia coli strain E2865 plasmid pE2865-2, complete sequence
NZ_AP018811.1 Escherichia coli strain E2865 plasmid pE2865-3, complete sequence
NZ_AP018812.1 Escherichia coli strain E2865 plasmid pE2865-4, complete sequence
NZ_LN813019.1 Halomonas sp. R57-5 chromosome I
NZ_CP030073.1 Streptomyces sp. ZFG47 chromosome, complete genome
NZ_CP030074.1 Streptomyces sp. ZFG47 plasmid unnamed1, complete sequence
NZ_CP054265.1 Klebsiella pneumoniae strain 39427 plasmid pKPN39427.1, complete sequence
NZ_CP054266.1 Klebsiella pneumoniae strain 39427 plasmid pKPN39427.2, complete sequence
