NZ_CP016824.1 Streptomyces sampsonii strain KJ40 chromosome, complete genome
NZ_CP018073.1 Enterococcus faecium strain VRE001 plasmid unnamed3, complete sequence
NZ_CP011397.1 Listeria monocytogenes strain CFSAN007956, complete genome
NZ_CP017038.2 Tannerella sp. oral taxon HOT-286 strain W11667 chromosome, complete genome
NZ_CP031667.1 Staphylococcus aureus strain 199 chromosome, complete genome
NZ_CP031668.1 Staphylococcus aureus strain 199 plasmid pPS00120.1A.1, complete sequence
NZ_CP031669.1 Staphylococcus aureus strain 199 plasmid pPS00120.1A.2, complete sequence
NC_021830.2 Listeria monocytogenes J1816, complete sequence
NZ_CP026069.1 Staphylococcus aureus strain FDAARGOS_25 chromosome, complete genome
NZ_CP027229.1 Capnocytophaga sp. oral taxon 878 strain F0545 chromosome, complete genome
NZ_CP027230.1 Capnocytophaga sp. oral taxon 878 strain F0545 plasmid unnamed1, complete sequence
NZ_CP014432.1 Staphylococcus aureus strain USA300-SUR20 chromosome, complete genome
NZ_CP014433.1 Staphylococcus aureus strain USA300-SUR20 plasmid pUSA01-1-SUR20, complete sequence
NZ_CP014434.1 Staphylococcus aureus strain USA300-SUR20 plasmid pUSA04-1-SUR20, complete sequence
NZ_CP031888.1 Staphylococcus aureus strain CFSAN082782 chromosome, complete genome
NZ_CP031889.1 Staphylococcus aureus strain CFSAN082782 plasmid pMRSA_23, complete sequence
NZ_CP046743.1 Vibrio cholerae strain 3569-08 chromosome 2, complete sequence
NZ_CP046744.1 Vibrio cholerae strain 3569-08 chromosome 1, complete sequence
NZ_CP014259.1 Agrobacterium tumefaciens strain S33 chromosome circular, complete sequence
NZ_CP014260.1 Agrobacterium tumefaciens strain S33 chromosome linear, complete sequence
NZ_CP023789.1 Enterococcus faecium strain Efaecium_ER04462.3A chromosome, complete genome
NZ_CP023790.1 Enterococcus faecium strain Efaecium_ER04462.3A plasmid pER04462.3A.1, complete sequence
NZ_CP023791.1 Enterococcus faecium strain Efaecium_ER04462.3A plasmid pER04462.3A.2, complete sequence
NZ_CP023792.1 Enterococcus faecium strain Efaecium_ER04462.3A plasmid pER04462.3A.3, complete sequence
NZ_CP023793.1 Enterococcus faecium strain Efaecium_ER04462.3A plasmid pER04462.3A.4, complete sequence
NZ_CP014790.1 Listeria monocytogenes isolate IZSAM_Lm_2015TE24968, complete genome
NZ_CP035662.1 Enterococcus faecium strain UAMSEF_20 plasmid unnamed2
NZ_CP035663.1 Enterococcus faecium strain UAMSEF_20 plasmid unnamed3, complete sequence
NZ_CP035664.1 Enterococcus faecium strain UAMSEF_20 plasmid unnamed4, complete sequence
NZ_CP035665.1 Enterococcus faecium strain UAMSEF_20 plasmid unnamed5, complete sequence
NZ_CP035666.1 Enterococcus faecium strain UAMSEF_20 chromosome, complete genome
NZ_CP035667.1 Enterococcus faecium strain UAMSEF_20 plasmid unnamed1, complete sequence
NZ_CP042299.1 Vibrio cholerae O1 strain AAS91 chromosome 1, complete sequence
NZ_CP042300.1 Vibrio cholerae O1 strain AAS91 chromosome 2, complete sequence
NZ_CP022582.1 Staphylococcus aureus strain FORC_062 chromosome, complete genome
NZ_CP045743.1 Listeria innocua strain CFSAN044836 chromosome, complete genome
NZ_CP045744.1 Listeria innocua strain CFSAN044836 plasmid pCFSAN044836, complete sequence
NZ_CP016324.1 Vibrio cholerae 2740-80 chromosome 1, complete sequence
NZ_CP016325.1 Vibrio cholerae 2740-80 chromosome 2
NZ_CP031670.1 Staphylococcus aureus strain 64 chromosome, complete genome
NZ_CP031671.1 Staphylococcus aureus strain 64 plasmid pPS00119.1A.1, complete sequence
NZ_CP031672.1 Staphylococcus aureus strain 64 plasmid pPS00119.1A.2, complete sequence
NZ_CP020488.1 Enterococcus faecium strain CFSAN059071 chromosome, complete genome
NZ_CP020489.1 Enterococcus faecium strain CFSAN059071 plasmid unnamed1, complete sequence
NZ_CP020490.1 Enterococcus faecium strain CFSAN059071 plasmid unnamed2, complete sequence
NZ_CP020491.1 Enterococcus faecium strain CFSAN059071 plasmid unnamed3, complete sequence
NZ_CP047856.1 Staphylococcus aureus strain UP_1435 chromosome, complete genome
NZ_CP047857.1 Staphylococcus aureus strain UP_1435 plasmid unnamed1, complete sequence
NZ_CP047858.1 Staphylococcus aureus strain UP_1435 plasmid unnamed2, complete sequence
NC_016011.1 Listeria ivanovii subsp. ivanovii PAM 55, complete genome
NZ_CP047802.1 Staphylococcus aureus strain UP_1442 chromosome, complete genome
NZ_CP012118.2 Staphylococcus aureus subsp. aureus strain USA300_2014.C01 plasmid pC01, complete sequence
NZ_CP012119.2 Staphylococcus aureus subsp. aureus strain USA300_2014.C01 chromosome, complete genome
NZ_CP025490.1 Staphylococcus aureus subsp. aureus strain USA300_2014.C01 plasmid pC01a, complete sequence
NZ_LR134271.1 Staphylococcus aureus strain NCTC7988 chromosome 1
NZ_CP027517.1 Enterococcus faecium strain AUSMDU00004024 chromosome, complete genome
NZ_CP027518.1 Enterococcus faecium strain AUSMDU00004024 plasmid unnamed1, complete sequence
NZ_CP027519.1 Enterococcus faecium strain AUSMDU00004024 plasmid unnamed2, complete sequence
NZ_CP020831.1 Listeria monocytogenes strain PNUSAL000144 chromosome, complete genome
NZ_CP027188.1 Idiomarina sp. OT37-5b chromosome, complete genome
NZ_CP043302.1 Staphylococcus aureus strain 16445 chromosome, complete genome
NZ_CP043303.1 Staphylococcus aureus strain 16445 plasmid unnamed1, complete sequence
NC_021823.1 Listeria monocytogenes strain C1-387, complete genome
NZ_CP032668.1 Listeria monocytogenes strain 52873 chromosome, complete genome
NZ_CP007176.1 Staphylococcus aureus USA300-ISMMS1 chromosome, complete genome
NZ_CP007177.1 Staphylococcus aureus USA300-ISMMS1 plasmid pUSA01-ISMMS, complete sequence
NZ_CP007178.1 Staphylococcus aureus USA300-ISMMS1 plasmid pUSA02-ISMMS, complete sequence
NZ_LR134322.1 Lactobacillus rhamnosus strain NCTC13710 chromosome 1
NZ_CP047861.1 Staphylococcus aureus strain UP_1322 chromosome, complete genome
NZ_CP047862.1 Staphylococcus aureus strain UP_1322 plasmid unnamed, complete sequence
NZ_CP030777.1 Faecalibacterium prausnitzii strain APC918/95b chromosome, complete genome
NZ_CP007200.1 Listeria monocytogenes serotype 1/2a str. 10-0934 strain 1/2a chromosome, complete genome
NZ_CP009242.1 Listeria monocytogenes strain LM850658, complete genome
NZ_CP004373.1 Gluconobacter oxydans DSM 3504 chromosome, complete genome
NZ_CP034102.1 Staphylococcus aureus strain O267 chromosome, complete genome
NZ_CP023784.1 Enterococcus faecium strain Efaecium_ER04120.3A chromosome, complete genome
NZ_CP023785.1 Enterococcus faecium strain Efaecium_ER04120.3A plasmid pER04120.3A.1, complete sequence
NZ_CP023786.1 Enterococcus faecium strain Efaecium_ER04120.3A plasmid pER04120.3A.2, complete sequence
NZ_CP023787.1 Enterococcus faecium strain Efaecium_ER04120.3A plasmid pER04120.3A.3, complete sequence
NZ_CP023788.1 Enterococcus faecium strain Efaecium_ER04120.3A plasmid pER04120.3A.4, complete sequence
NZ_LT992469.1 Staphylococcus aureus isolate 15_LA_305 chromosome I
NZ_CP014261.1 Listeria monocytogenes strain 2015TE19005-1355, complete genome
NZ_LT992475.1 Staphylococcus aureus isolate 20_LA_415 chromosome I
NZ_CP010297.1 Staphylococcus aureus strain ATCC BAA1680 chromosome, complete genome
NC_021840.1 Listeria monocytogenes strain J1926, complete genome
NC_022051.1 Listeria monocytogenes strain J1926 plasmid, complete sequence
NZ_CP020017.1 Tetragenococcus halophilus strain KUD23, complete genome
NZ_CP013943.1 Staphylococcus epidermidis strain DAR1907 chromosome, complete genome
NZ_CP047795.1 Staphylococcus aureus strain UP_490 chromosome, complete genome
NZ_CP016073.1 Staphylococcus pseudintermedius strain 081661 isolate 20081661 chromosome, complete genome
NZ_CP050690.1 Staphylococcus aureus strain PMB179-1 chromosome, complete genome
NZ_CP016856.1 Staphylococcus aureus subsp. aureus strain 2148.N chromosome, complete genome
NZ_CP025481.1 Staphylococcus aureus subsp. aureus strain 2148.N plasmid p2148.N, complete sequence
NZ_LR134536.1 Staphylococcus epidermidis strain NCTC13924 chromosome 1
NZ_CP040233.1 Staphylococcus aureus strain GD1696 chromosome, complete genome
NZ_CP028468.1 Staphylococcus aureus strain IT1-S chromosome, complete genome
NZ_CP028469.1 Staphylococcus aureus strain IT1-S plasmid pIT1-S, complete sequence
NZ_CP047803.1 Staphylococcus aureus strain UP_1097 chromosome, complete genome
NZ_CP045187.1 Staphylococcus haemolyticus strain VB19458 chromosome, complete genome
NZ_CP031553.1 Pasteurella multocida strain EB168 chromosome, complete genome
NZ_CP013445.1 Burkholderia ubonensis strain MSMB1189WGS chromosome 3, complete sequence
NZ_CP013446.1 Burkholderia ubonensis strain MSMB1189WGS chromosome 1, complete sequence
NZ_CP013447.1 Burkholderia ubonensis strain MSMB1189WGS chromosome 2, complete sequence
NZ_CP023199.1 Bifidobacterium breve strain DRBB30 chromosome, complete genome
NC_010320.1 Thermoanaerobacter sp. X514, complete genome
NZ_CP017237.1 Moorella thermoacetica strain DSM 103284, complete genome
NZ_CP013616.1 Staphylococcus aureus strain RIVM1295 chromosome, complete genome
NZ_CP013617.1 Staphylococcus aureus strain RIVM1295 plasmid pRIVM1295-1, complete sequence
NZ_CP013618.1 Staphylococcus aureus strain RIVM1295 plasmid pRIVM1295-2, complete sequence
NZ_CP020020.1 Staphylococcus aureus subsp. aureus strain ATCC 6538 chromosome, complete genome
NZ_CP020021.1 Staphylococcus aureus subsp. aureus strain ATCC 6538 plasmid unnamed1, complete sequence
NZ_CP014239.1 Selenomonas sp. oral taxon 136 strain F0591, complete genome
NZ_CP014240.1 Selenomonas sp. oral taxon 136 plasmid unnamed1, complete sequence
NZ_CP035719.1 Corynebacterium pseudotuberculosis strain 87MAT chromosome, complete genome
NZ_CP049715.1 Apibacter sp. B3706 chromosome, complete genome
NC_017300.1 Corynebacterium pseudotuberculosis 1002, complete genome
NZ_CP033061.1 Synechococcus elongatus UTEX 3055 chromosome, complete genome
NZ_CP033062.1 Synechococcus elongatus UTEX 3055 plasmid unnamed1, complete sequence
NZ_CP033063.1 Synechococcus elongatus UTEX 3055 plasmid unnamed2, complete sequence
NZ_CP043613.1 Lactobacillus buchneri strain MGB0786 plasmid unnamed1, complete sequence
NZ_CP043614.1 Lactobacillus buchneri strain MGB0786 plasmid unnamed3, complete sequence
NZ_CP043615.1 Lactobacillus buchneri strain MGB0786 chromosome, complete genome
NZ_CP043616.1 Lactobacillus buchneri strain MGB0786 plasmid unnamed2, complete sequence
NZ_CP047798.1 Staphylococcus aureus strain UP_378 chromosome, complete genome
NC_014215.1 Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1, complete genome
NZ_CP009230.1 Aggregatibacter aphrophilus NJ8700 chromosome, complete genome
NZ_CP014063.1 Staphylococcus aureus strain FDAARGOS_159 plasmid unnamed, complete sequence
NZ_CP014064.2 Staphylococcus aureus strain FDAARGOS_159 chromosome, complete genome
NZ_CP042213.1 Enterococcus faecalis strain L15 chromosome, complete genome
NZ_CP042214.1 Enterococcus faecalis strain L15 plasmid pL15, complete sequence
NZ_CP042215.1 Enterococcus faecalis strain L15 plasmid pL15-A, complete sequence
NZ_CP042153.1 Staphylococcus aureus strain B4-59C chromosome, complete genome
NZ_CP042154.1 Staphylococcus aureus strain B4-59C plasmid pSALNC14, complete sequence
NZ_CP042155.1 Staphylococcus aureus strain B4-59C plasmid pSALNC2.8, complete sequence
NZ_CP042156.1 Staphylococcus aureus strain B4-59C plasmid pSALNC1.4-2, complete sequence
NZ_CP016610.1 Xylella fastidiosa strain Salento-2 chromosome, complete genome
NZ_CP016611.1 Xylella fastidiosa strain Salento-2 plasmid pSal2, complete sequence
NZ_CP021559.1 Bifidobacterium breve strain CNCM I-4321 chromosome, complete genome
NZ_CP011995.1 Porphyromonas gingivalis strain A7436 chromosome, complete genome
NZ_CP024974.1 Streptococcus suis strain CZ130302 chromosome, complete genome
NZ_CP052853.1 Xylella fastidiosa subsp. multiplex strain RH1 chromosome, complete genome
NZ_LT900338.1 Gluconobacter oxydans 621H isolate WT-DSMZ chromosome 1
NZ_LT900339.1 Gluconobacter oxydans 621H isolate WT-DSMZ plasmid 2
NZ_LT900340.1 Gluconobacter oxydans 621H isolate WT-DSMZ plasmid 3
NZ_LT900341.1 Gluconobacter oxydans 621H isolate WT-DSMZ plasmid 4
NZ_LT900342.1 Gluconobacter oxydans 621H isolate WT-DSMZ plasmid 5
NZ_LT900343.1 Gluconobacter oxydans 621H isolate WT-DSMZ plasmid 6
NC_020521.1 Legionella pneumophila subsp. pneumophila LPE509, complete genome
NC_020522.1 Legionella pneumophila subsp. pneumophila LPE509 plasmid, complete sequence
NZ_CP047785.1 Staphylococcus aureus strain UP_1186 chromosome, complete genome
NZ_CP026374.1 Corynebacterium pseudotuberculosis strain OVI2C chromosome, complete genome
NZ_CP013697.1 Corynebacterium pseudotuberculosis strain MEX25, complete genome
NZ_CP006957.2 Mannheimia haemolytica USDA-ARS-USMARC-184 chromosome, complete genome
NC_021085.1 Cutibacterium acnes HL096PA1, complete sequence
NC_021086.1 Cutibacterium acnes HL096PA1 plasmid unnamed, complete sequence
NZ_CP020870.1 Xylella fastidiosa subsp. pauca strain De Donno chromosome, complete genome
NZ_CP020871.1 Xylella fastidiosa subsp. pauca strain De Donno plasmid pXF-De_Donno, complete sequence
NZ_LR135191.1 Enterococcus faecium isolate E4438 chromosome 1
NZ_LR135192.1 Enterococcus faecium isolate E4438 plasmid 2
NZ_LR135193.1 Enterococcus faecium isolate E4438 plasmid 3
NZ_LR135194.1 Enterococcus faecium isolate E4438 plasmid 4
NZ_LR135195.1 Enterococcus faecium isolate E4438 plasmid 5
NZ_LR135196.1 Enterococcus faecium isolate E4438 plasmid 6
NZ_CP015645.1 Staphylococcus aureus strain 08-02119, complete genome
NZ_CP023540.1 Chryseobacterium sp. 6424 chromosome, complete genome
NZ_CP034410.1 Corynebacterium pseudotuberculosis strain OVIAF1 chromosome, complete genome
NZ_CP015190.1 Corynebacterium pseudotuberculosis strain 46, complete genome
NZ_CP054195.1 Glaesserella parasuis strain YHP170504 plasmid unnamed3, complete sequence
NZ_CP054196.1 Glaesserella parasuis strain YHP170504 plasmid unnamed2, complete sequence
NZ_CP054197.1 Glaesserella parasuis strain YHP170504 plasmid unnamed1, complete sequence
NZ_CP054198.1 Glaesserella parasuis strain YHP170504 chromosome, complete genome
NZ_CP012522.1 Enterococcus faecium strain 64/3 isolate human patient chromosome, complete genome
NZ_CP047628.1 Lactococcus raffinolactis strain Lr_19_14 chromosome, complete genome
NZ_CP047629.1 Lactococcus raffinolactis strain Lr_19_14 plasmid pLraf_19_14_1, complete sequence
NZ_LR135181.1 Enterococcus faecium isolate E1774 chromosome 1
NZ_LR135182.1 Enterococcus faecium isolate E1774 plasmid 2
NZ_LR135183.1 Enterococcus faecium isolate E1774 plasmid 3
NZ_LR135184.1 Enterococcus faecium isolate E1774 plasmid 4
NC_010551.1 Burkholderia ambifaria MC40-6 chromosome 1, complete sequence
NC_010552.1 Burkholderia ambifaria MC40-6 chromosome 2, complete sequence
NC_010553.1 Burkholderia ambifaria MC40-6 plasmid pBMC401, complete sequence
NC_010557.1 Burkholderia ambifaria MC40-6 chromosome 3, complete sequence
NZ_CP007208.1 Staphylococcus xylosus strain HKUOPL8 chromosome, complete genome
NZ_CP007209.1 Staphylococcus xylosus strain HKUOPL8 plasmid unnamed, complete sequence
NZ_CP047787.1 Staphylococcus aureus strain UP_1108 chromosome, complete genome
NZ_CP025754.1 Enterococcus faecium strain AALTL chromosome, complete genome
NZ_CP025755.1 Enterococcus faecium strain AALTL plasmid pEFA-790c, complete sequence
NZ_CP025756.1 Enterococcus faecium strain AALTL plasmid pEFA-99d7, complete sequence
NZ_CP046453.1 Corynebacterium sp. 2019 chromosome, complete genome
NZ_CP046454.1 Corynebacterium sp. 2019 plasmid pCETAM, complete sequence
NZ_CP014543.1 Corynebacterium pseudotuberculosis strain MEX9, complete genome
NZ_AP018718.1 Sterolibacteriaceae bacterium J5B
NZ_AP018719.1 Sterolibacteriaceae bacterium J5B plasmid pSTJ1, complete sequence
NZ_AP018720.1 Sterolibacteriaceae bacterium J5B plasmid pSTJ2, complete sequence
NC_014039.1 Cutibacterium acnes SK137, complete sequence
NZ_LT992436.1 Staphylococcus aureus isolate 1549-REV chromosome I
NZ_CP017488.1 Mannheimia haemolytica strain 39373 chromosome, complete genome
NZ_CP014949.1 Enterococcus faecalis strain LD33, complete genome
NZ_CP033718.1 Cutibacterium acnes strain FDAARGOS_577 chromosome, complete genome
NZ_CP032682.1 Staphylococcus pseudintermedius strain G3C4 chromosome, complete genome
NZ_CP010411.1 Bifidobacterium longum subsp. infantis strain BT1 chromosome, complete genome
NZ_LR735429.1 Staphylococcus epidermidis strain none isolate Se_BPH0704 chromosome 1
NZ_LR735430.1 Staphylococcus epidermidis strain none isolate Se_BPH0704 plasmid 2
NZ_AP014652.1 Staphylococcus aureus subsp. aureus strain TMUS2126
NZ_CP038229.1 Staphylococcus aureus strain MJ163 chromosome, complete genome
NZ_CP038230.1 Staphylococcus aureus strain MJ163 plasmid unnamed1, complete sequence
NZ_CP017540.1 Mannheimia haemolytica strain 1451, complete genome
NZ_CP045468.1 Staphylococcus aureus strain SAW1 chromosome, complete genome
NZ_CP045469.1 Staphylococcus aureus strain SAW1 plasmid pSAW1-2, complete sequence
NZ_CP045470.1 Staphylococcus aureus strain SAW1 plasmid pSAW1-3, complete sequence
NZ_CP045471.1 Staphylococcus aureus strain SAW1 plasmid pSAW1-4, complete sequence
NZ_LR134538.1 Corynebacterium diphtheriae strain NCTC3529 chromosome 1
NZ_CP049872.1 Thermomonas sp. HDW16 chromosome, complete genome
NZ_LS483365.1 Staphylococcus aureus subsp. aureus NCTC 8325 chromosome 1
NC_015417.1 Clostridium botulinum BKT015925 plasmid p1BKT015925, complete sequence
NC_015418.1 Clostridium botulinum BKT015925 plasmid p3BKT015925, complete sequence
NC_015419.1 Clostridium botulinum BKT015925 plasmid p5BKT015925, complete sequence
NC_015425.1 Clostridium botulinum BKT015925, complete sequence
NC_015426.1 Clostridium botulinum BKT015925 plasmid p2BKT015925, complete sequence
NC_015427.1 Clostridium botulinum BKT015925 plasmid p4BKT015925, complete sequence
NZ_CP030045.1 Enterococcus faecalis strain C54 chromosome, complete genome
NZ_CP030046.1 Enterococcus faecalis strain C54 plasmid pC54, complete sequence
NZ_CP027506.1 Enterococcus faecium strain AUSMDU00004055 chromosome, complete genome
NZ_CP027507.1 Enterococcus faecium strain AUSMDU00004055 plasmid unnamed1, complete sequence
NZ_CP027508.1 Enterococcus faecium strain AUSMDU00004055 plasmid unnamed2, complete sequence
NZ_CP027509.1 Enterococcus faecium strain AUSMDU00004055 plasmid unnamed3, complete sequence
NZ_CP027510.1 Enterococcus faecium strain AUSMDU00004055 plasmid unnamed4, complete sequence
NZ_CP027511.1 Enterococcus faecium strain AUSMDU00004055 plasmid unnamed5, complete sequence
NZ_CP050648.1 Enterococcus faecium strain BIOPOP-3 ALE chromosome, complete genome
NZ_CP050649.1 Enterococcus faecium strain BIOPOP-3 ALE plasmid pBIOPOP-3_ALE
NZ_CP019750.1 Lactobacillus brevis strain TMW 1.2113 chromosome, complete genome
NZ_CP019751.1 Lactobacillus brevis strain TMW 1.2113 plasmid pl12113-1, complete sequence
NZ_CP019752.1 Lactobacillus brevis strain TMW 1.2113 plasmid pl12113-2, complete sequence
NZ_CP019753.1 Lactobacillus brevis strain TMW 1.2113 plasmid pl12113-3, complete sequence
NZ_CP019754.1 Lactobacillus brevis strain TMW 1.2113 plasmid pl12113-4, complete sequence
NZ_AP019829.2 Leptotrichia wadei strain JCM16777
NZ_AP019830.1 Leptotrichia wadei strain JCM16777 plasmid pJCM16777-1, complete sequence
NZ_LR134095.1 Enterococcus faecium isolate E1334 chromosome 1
NZ_LR134096.1 Enterococcus faecium isolate E1334 plasmid 2
NZ_LR134097.1 Enterococcus faecium isolate E1334 plasmid 3
NZ_CP028491.1 Carboxydocella thermautotrophica strain 019 chromosome, complete genome
NC_016783.1 Corynebacterium diphtheriae INCA 402, complete sequence
NZ_CP017515.1 Mannheimia haemolytica strain 23278 chromosome, complete genome
NZ_LR735434.1 Staphylococcus epidermidis strain none isolate Se_BPH0736 chromosome 1
NZ_LR735435.1 Staphylococcus epidermidis strain none isolate Se_BPH0736 plasmid 2
NZ_LR735436.1 Staphylococcus epidermidis strain none isolate Se_BPH0736 plasmid 3
NZ_LR135197.1 Enterococcus faecium isolate E6055 chromosome 1
NZ_LR135198.1 Enterococcus faecium isolate E6055 plasmid 2
NZ_LR135199.1 Enterococcus faecium isolate E6055 plasmid 3
NZ_LR135200.1 Enterococcus faecium isolate E6055 plasmid 4
NZ_LR135201.1 Enterococcus faecium isolate E6055 plasmid 5
NZ_LR135202.1 Enterococcus faecium isolate E6055 plasmid 6
NC_020539.1 Staphylococcus aureus subsp. aureus ST228 plasmid pI8T7, complete sequence
NC_020568.1 Staphylococcus aureus subsp. aureus ST228, complete genome
NZ_CP046863.1 Corynebacterium ulcerans strain MRi49 chromosome, complete genome
NC_016790.1 Corynebacterium diphtheriae VA01, complete sequence
NZ_CP035714.1 Corynebacterium pseudotuberculosis strain E9 chromosome, complete genome
NC_020537.1 Staphylococcus aureus subsp. aureus ST228, complete genome
NC_020538.1 Staphylococcus aureus subsp. aureus ST228 plasmid pI7S6, complete sequence
NZ_CP014113.1 Staphylococcus saprophyticus strain FDAARGOS_168, complete genome
NZ_CP014114.1 Staphylococcus saprophyticus strain FDAARGOS_168 plasmid unnamed1, complete sequence
NZ_CP014115.1 Staphylococcus saprophyticus strain FDAARGOS_168 plasmid unnamed2, complete sequence
NZ_CP031169.1 Lactobacillus brevis strain UCCLBBS124 chromosome, complete genome
NZ_CP031170.1 Lactobacillus brevis strain UCCLBBS124 plasmid pUCCLBBS124_A, complete sequence
NZ_CP031171.1 Lactobacillus brevis strain UCCLBBS124 plasmid pUCCLBBS124_B, complete sequence
NZ_CP031172.1 Lactobacillus brevis strain UCCLBBS124 plasmid pUCCLBBS124_C, complete sequence
NZ_CP031173.1 Lactobacillus brevis strain UCCLBBS124 plasmid pUCCLBBS124_D, complete sequence
NZ_CP011859.1 Riemerella anatipestifer strain HXb2, complete genome
NZ_CP015195.1 Pasteurellaceae bacterium RH1A chromosome, complete genome
NZ_CP043841.1 Staphylococcus epidermidis strain NCCP 16829 chromosome, complete genome
NZ_CP022290.1 Staphylococcus aureus subsp. aureus strain EDCC5458 chromosome, complete genome
NZ_CP052855.1 Xylella fastidiosa subsp. multiplex strain Fillmore chromosome, complete genome
NZ_CP007672.1 Staphylococcus aureus strain CA12 chromosome, complete genome
NZ_CP007673.1 Staphylococcus aureus strain CA12 plasmid pCA12, complete sequence
NZ_CP015900.1 Lactococcus lactis subsp. cremoris strain JM2 chromosome, complete genome
NZ_CP016742.1 Lactococcus lactis subsp. cremoris strain JM2 plasmid pJM2A, complete sequence
NZ_CP016743.1 Lactococcus lactis subsp. cremoris strain JM2 plasmid pJM2B, complete sequence
NZ_CP016744.1 Lactococcus lactis subsp. cremoris strain JM2 plasmid pJM2C, complete sequence
NZ_CP016745.1 Lactococcus lactis subsp. cremoris strain JM2 plasmid pMPJM2, complete sequence
NC_017568.1 Staphylococcus pseudintermedius ED99, complete sequence
NZ_CP050449.1 Kocuria sp. KD4 chromosome, complete genome
NZ_CP035003.1 Staphylococcus aureus strain PCFA-221 chromosome, complete genome
NZ_CP035004.1 Staphylococcus aureus strain PCFA-221 plasmid pP541, complete sequence
NZ_LR134105.1 Enterococcus faecium isolate E6043 chromosome 1
NZ_LR134106.1 Enterococcus faecium isolate E6043 plasmid 2
NZ_LR134107.1 Enterococcus faecium isolate E6043 plasmid 3
NZ_LR134108.1 Enterococcus faecium isolate E6043 plasmid 4
NZ_LR134109.1 Enterococcus faecium isolate E6043 plasmid 5
NZ_LR134110.1 Enterococcus faecium isolate E6043 plasmid 6
NZ_LR134111.1 Enterococcus faecium isolate E6043 plasmid 7
NZ_LR134112.1 Enterococcus faecium isolate E6043 plasmid 8
NZ_LR134113.1 Enterococcus faecium isolate E6043 plasmid 0
NZ_CP022910.1 Staphylococcus aureus strain 164 chromosome, complete genome
NZ_CP022911.1 Staphylococcus aureus strain 164 plasmid pPS00089.1A.1, complete sequence
NZ_CP017503.1 Mannheimia haemolytica strain 32795 chromosome, complete genome
NZ_CP032158.1 Staphylococcus warneri strain 22.1 plasmid pSW22.1, complete sequence
NZ_CP032159.1 Staphylococcus warneri strain 22.1 chromosome st_war_22.1, complete sequence
NZ_CP034593.1 Flaviflexus sp. H23T48 chromosome, complete genome
NZ_CP047226.1 Moraxella osloensis strain YV1 chromosome, complete genome
NZ_CP047227.1 Moraxella osloensis strain YV1 plasmid p1, complete sequence
NZ_CP047228.1 Moraxella osloensis strain YV1 plasmid p2, complete sequence
NZ_CP047229.1 Moraxella osloensis strain YV1 plasmid p3, complete sequence
NZ_CP047230.1 Moraxella osloensis strain YV1 plasmid p4, complete sequence
NZ_CP053957.1 Staphylococcus capitis strain FDAARGOS_753 chromosome, complete genome
NZ_CP053958.1 Staphylococcus capitis strain FDAARGOS_753 plasmid unnamed1
NZ_CP053959.1 Staphylococcus capitis strain FDAARGOS_753 plasmid unnamed2, complete sequence
NZ_CP053960.1 Staphylococcus capitis strain FDAARGOS_753 plasmid unnamed3
NZ_CP009716.1 Corynebacterium ulcerans strain 05146, complete genome
NC_017306.1 Corynebacterium pseudotuberculosis 42/02-A, complete sequence
NZ_CP025830.1 Akkermansia muciniphila strain EB-AMDK-15 chromosome, complete genome
NZ_CP029085.1 Staphylococcus aureus strain AR462 plasmid unnamed1, complete sequence
NZ_CP029086.1 Staphylococcus aureus strain AR462 chromosome, complete genome
NZ_AP022347.1 Rhodocyclaceae bacterium ICHIJ1
NZ_AP022348.1 Rhodocyclaceae bacterium ICHIJ1 plasmid pICHIJ1, complete sequence
NZ_AP018499.1 Lactococcus lactis subsp. cremoris strain C4
NZ_AP018500.1 Lactococcus lactis subsp. cremoris strain C4 plasmid pC41, complete sequence
NZ_AP018501.1 Lactococcus lactis subsp. cremoris strain C4 plasmid pC42, complete sequence
NZ_AP018502.1 Lactococcus lactis subsp. cremoris strain C4 plasmid pC43, complete sequence
NZ_AP018503.1 Lactococcus lactis subsp. cremoris strain C4 plasmid pC44, complete sequence
NZ_CP024601.1 Porphyromonas gingivalis strain KCOM 2799 chromosome, complete genome
NZ_CP015572.1 Pasteurella multocida strain USDA-ARS-USMARC-60381 chromosome, complete genome
NZ_CP017430.1 Staphylococcus simulans strain MR4 chromosome, complete genome
NZ_CP017431.1 Staphylococcus simulans strain MR4 plasmid unnamed4, complete sequence
NZ_CP021907.1 Staphylococcus aureus strain Seattle 1945 isolate G478 chromosome, complete genome
NZ_CP021908.1 Staphylococcus aureus strain Seattle 1945 isolate G478 plasmid pG478, complete sequence
NZ_CP025043.1 Streptococcus suis strain AH681 chromosome, complete genome
NZ_CP014759.1 Legionella pneumophila strain F4468 chromosome, complete genome
NZ_CP024593.1 Porphyromonas gingivalis strain KCOM 2804 chromosome, complete genome
NZ_CP018195.1 Granulibacter bethesdensis strain NIH1.4 chromosome, complete genome
NZ_CP031470.1 Staphylococcus chromogenes strain 34B chromosome, complete genome
NZ_LR134087.1 Staphylococcus aureus strain NCTC7121 chromosome 1
NZ_CP041726.1 Staphylococcus lugdunensis strain SL118 chromosome, complete genome
NC_017534.1 Cutibacterium acnes 266, complete sequence
NZ_CP015342.1 Legionella pneumophila strain D-7632, complete genome
NZ_LN997841.1 Propionibacterium freudenreichii subsp. shermanii isolate PFREUDJS1 chromosome I
